OCLC Number,WORLDCAT LINK,AUTHOR,AUTHOR URI,TITLE,MUSEUM #,IMPRINT,COUNTRY,DATE,CALL #(BIBLIO),LANG,Column1,,,,,,,
ocn991872739,http://www.worldcat.org/oclc/991872739,"Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation, California, issuing body.",http://experiment.worldcat.org/entity/work/data/4397059244#Organization/santa_ynez_band_of_chumash_mission_indians_of_the_santa_ynez_reservation_california,[Collection of photograph cards about the Santa Ynez Band of Chumash Indians and the Santa Ynez Reservation] / Santa Ynez Band of Chumash Indians.,14.C.1043,"[California] : Santa Ynez Band of Chumash Indians, [between 2011 and 2016]",cau,2011,E 99 .C815 S26 2016,eng,,,,,,,,
ocn301606479,http://www.worldcat.org/oclc/301606479,,,Archives on the West.,14.C.1263,"Santa Barbara, California : ABC-CLIO, 2008.",cau,2008,"016.978 A44o, 2008",eng,,,,,,,,
ocm00470993,http://www.worldcat.org/oclc/470993,"Bauer, Helen",http://experiment.worldcat.org/entity/work/data/1124628#Person/bauer_helen,California Indian Days / Helen Bauer,14.C.65(2),"Garden City, N.Y. : Doubleday, 1963.",nyu,1963,E 78 .C15 B38 1963,eng,,,,,,,,
ocm00001249,http://www.worldcat.org/oclc/1249,"Bauer, Helen",http://experiment.worldcat.org/entity/work/data/1124628#Person/bauer_helen,California Indian Days / Helen Bauer,14.C.65(2),"Garden City, N.Y. : Doubleday, 1968.",nyu,1968,E 78 .C15 B38 1968,eng,,,,,,,,
ocm28846332,http://www.worldcat.org/oclc/28846332,"Moure, Nancy Dustin Wall, author.",http://viaf.org/viaf/65246349,"Loners, mavericks, and dreamers : art in Los Angeles before 1900 / by Nancy Dustin Wall Moure.",14.C.844,"Laguna Beach, Calif. : Laguna Art Museum, ©1993.",cau,1993,"709.794 9307479476, M68l, 1993 ",eng,,,,,,,,
ocm39886986,http://www.worldcat.org/oclc/39886986,"Dubin, Lois Sherr.",http://viaf.org/viaf/255621477,"North American Indian jewelry and adornment : from prehistory to the present / Lois Sherr Dubin   original photography by Togashi, Paul Jones, and others.",1409.G.140,"New York : Harry N. Abrams, 1999.",nyu,1999,E 98 .J48 D83 1999,eng,,,,,,,,
on1019842595,http://www.worldcat.org/oclc/1019842595,"Anderson, Peggy King, author.",,Two-moon journey : the Potawatomi trail of death / Peggy King Anderson.,1409.G.154,"Indianapolis : Indiana Historical Society Press, 2018.",inu,2018,PS 3551 .N384 T96 2018,eng,,,,,,,,
ocn180193148,http://www.worldcat.org/oclc/180193148,"Anawalt, Patricia Rieff, 1924-",http://viaf.org/viaf/51902238,The worldwide history of dress / Patricia Rieff Anawalt.,1409.G.17,"New York : Thames & Hudson, 2007.",nyu,2007,"391.009 A52w, 2007 ",eng,,,,,,,,
ocm00470993,http://www.worldcat.org/oclc/470993,"Bauer, Helen",http://experiment.worldcat.org/entity/work/data/1124628#Person/bauer_helen,California Indian Days / Helen Bauer,149.G.90,"Garden City, N.Y. : Doubleday, 1963.",nyu,1963,E 78 .C15 B38 1963,eng,,,,,,,,
ocm00001249,http://www.worldcat.org/oclc/1249,"Bauer, Helen",http://experiment.worldcat.org/entity/work/data/1124628#Person/bauer_helen,California Indian Days / Helen Bauer,149.G.90,"Garden City, N.Y. : Doubleday, 1968.",nyu,1968,E 78 .C15 B38 1968,eng,,,,,,,,
